cep,count,state,region,country,lat,lon
66640-485,1,Pará,Região Norte,Brasil,-1.3809951,-48.4356723
66025540,1,Pará,Região Norte,Brasil,-1.4709313,-48.499485
68420000,1,Pará,Região Norte,Brasil,-2.583098,-49.504224
68746680,1,Pará,Região Norte,Brasil,-1.2927031,-47.9223903
67145007,1,Pará,Região Norte,Brasil,-1.3568948,-48.420327
66645215,1,Pará,Região Norte,Brasil,-1.4081413,-48.43979570000001
66070260,1,Pará,Região Norte,Brasil,-1.4465473999999998,-48.45862320000001
97105684,1,Rio Grande do Sul,Região Sul,Brasil,-29.7138462,-53.72879870000001
Passagem são Geraldo alameda da paz,1,NaN,NAN,NAN,NAN,NAN
66840590,1,Pará,Região Norte,Brasil,-1.3366003,-48.3888186
67146284,1,Pará,Região Norte,Brasil,-1.3501408,-48.4217341
68420-009,1,NaN,NAN,NAN,NAN,NAN
67113520,1,Pará,Região Norte,Brasil,-1.3943448,-48.3791104
Av. Senador Lemos/Alameda Jerusalém,1,NaN,NAN,NAN,NAN,NAN
68440-000,1,Pará,Região Norte,Brasil,-1.721828,-48.878843
68644000,1,Pará,Região Norte,Brasil,-1.5220049,-46.90206970000001
66073-200,1,Pará,Região Norte,Brasil,-1.3154436,-48.4791353
66079750,1,Pará,Região Norte,Brasil,-1.155892,-48.4625441
66020446,1,Pará,Região Norte,Brasil,-1.5658208,-48.7659985
67020790,1,Pará,Região Norte,Brasil,-1.3850401,-48.3774436
66095020,1,Pará,Região Norte,Brasil,-1.4453888,-48.4855221
Rua Moura Brasil 58,1,Rio de Janeiro,Região Sudeste,Brasil,-22.9355655,-43.1851072
66093-674 ,1,Pará,Região Norte,Brasil,-1.4336023,-48.4603247
66635410,1,Pará,Região Norte,Brasil,-1.3608813999999998,-48.4473506
66635060,1,Pará,Região Norte,Brasil,-1.3617416000000002,-48.445396
66073220,1,Pará,Região Norte,Brasil,-1.4547835,-48.4571782
67115030,1,Pará,Região Norte,Brasil,-1.3533731000000002,-48.36116060000001
